Home Team,Away Team,Home Score,Away Score,Winner
Eagles,Cowboys,24,20,Home
Chargers,Chiefs,27,21,Home
Falcons,Buccaneers,20,23,Away
Browns,Bengals,16,17,Away
Colts,Dolphins,33,8,Home
Jaguars,Panthers,26,10,Home
Patriots,Raiders,13,20,Away
Saints,Cardinals,13,20,Away
Jets,Steelers,32,34,Away
Commanders,Giants,21,6,Home
Broncos,Titans,20,12,Home
Seahawks,49ers,13,17,Away
Packers,Lions,27,13,Home
Rams,Texans,14,9,Home
Bills,Ravens,41,40,Home
Bears,Vikings,24,27,Away
Packers,Commanders,27,18,Home
Ravens,Browns,41,17,Home
Bengals,Jaguars,31,27,Home
Cowboys,Giants,40,37,Home
Lions,Bears,52,21,Home
Dolphins,Patriots,27,33,Away
Saints,49ers,21,26,Away
Jets,Bills,10,30,Away
Steelers,Seahawks,17,31,Away
Titans,Rams,19,33,Away
Cardinals,Panthers,27,22,Home
Colts,Broncos,29,28,Home
Chiefs,Eagles,17,20,Away
Vikings,Falcons,6,22,Away
Texans,Buccaneers,19,20,Away
Raiders,Chargers,9,20,Away
Bills,Dolphins,31,21,Home
Panthers,Falcons,30,0,Home
Browns,Packers,13,10,Home
Jaguars,Texans,17,10,Home
Vikings,Bengals,48,10,Home
Patriots,Steelers,14,21,Away
Eagles,Rams,33,26,Home
Buccaneers,Jets,29,27,Home
Titans,Colts,20,41,Away
Commanders,Raiders,41,24,Home
Chargers,Broncos,23,20,Home
Seahawks,Saints,44,13,Home
Bears,Cowboys,31,14,Home
49ers,Cardinals,16,15,Home
Giants,Chiefs,9,22,Away
Ravens,Lions,30,38,Away
