Team,GP,GA/G,W,L,OTL,SA,GA,S,SV%,SO,SOSA,SOS,SOS%
Colorado Avalanche,66,2.50,44,13,9,1744,165,1579,0.911,6,21,12,0.571
Dallas Stars,67,2.69,42,15,10,1766,180,1586,0.903,3,24,15,0.625
Tampa Bay Lightning,65,2.77,40,21,4,1767,180,1587,0.904,2,14,9,0.643
New York Islanders,67,2.78,38,24,5,1882,186,1696,0.907,8,16,10,0.625
Minnesota Wild,68,2.81,38,18,12,2034,191,1843,0.911,8,31,20,0.645
Utah Mammoth,68,2.81,35,27,6,1763,191,1572,0.895,2,0,0,0.000
Carolina Hurricanes,66,2.86,42,18,6,1588,189,1400,0.887,3,25,21,0.840
Pittsburgh Penguins,67,2.90,34,18,15,1820,194,1626,0.897,4,30,12,0.400
Washington Capitals,68,2.90,33,27,8,1910,197,1713,0.904,3,32,20,0.625
Los Angeles Kings,67,2.91,28,24,15,1832,195,1637,0.899,4,35,21,0.600
Detroit Red Wings,68,2.94,37,23,8,1887,200,1687,0.900,4,13,8,0.615
Seattle Kraken,66,2.96,31,26,9,1941,195,1746,0.907,2,10,5,0.500
Buffalo Sabres,67,2.99,41,20,6,1980,200,1780,0.906,2,14,11,0.786
Winnipeg Jets,66,3.03,28,28,10,1847,200,1647,0.898,0,8,5,0.625
Vegas Golden Knights,67,3.03,31,22,14,1650,203,1447,0.881,3,20,11,0.550
New Jersey Devils,67,3.05,34,31,2,1853,204,1651,0.895,1,11,10,0.909
Philadelphia Flyers,66,3.05,31,23,12,1696,201,1495,0.888,0,30,23,0.767
Boston Bruins,67,3.10,37,23,7,2002,208,1794,0.900,2,23,20,0.870
Ottawa Senators,66,3.11,34,23,9,1603,205,1398,0.876,3,7,7,1.000
Calgary Flames,67,3.12,26,34,7,1971,209,1762,0.902,2,20,13,0.650
New York Rangers,67,3.12,28,31,8,1950,209,1741,0.903,3,8,7,0.875
Columbus Blue Jackets,66,3.14,34,21,11,1945,207,1738,0.899,3,22,15,0.682
Chicago Blackhawks,66,3.15,25,30,11,1936,208,1728,0.899,5,34,22,0.647
Montreal Canadiens,66,3.26,36,20,10,1814,215,1599,0.886,1,20,12,0.600
St. Louis Blues,67,3.27,27,30,10,1875,219,1656,0.889,6,9,5,0.556
Florida Panthers,66,3.32,33,30,3,1740,219,1522,0.885,3,12,9,0.750
Edmonton Oilers,68,3.37,33,26,9,1841,229,1612,0.880,4,11,7,0.636
Nashville Predators,66,3.39,29,28,9,1932,224,1709,0.892,0,18,14,0.778
Toronto Maple Leafs,68,3.44,29,27,12,2189,234,1955,0.901,3,8,2,0.250
Anaheim Ducks,67,3.48,37,27,3,1940,233,1707,0.888,0,25,20,0.800
San Jose Sharks,65,3.51,32,27,6,1968,228,1740,0.891,0,9,8,0.889
Vancouver Canucks,66,3.70,20,38,8,1964,244,1720,0.884,1,22,20,0.909
