rank,team,points
1,Spain,1879.12
2,France,1877.32
3,Argentina,1873.96
4,England,1832.62
5,Portugal,1759.62
6,Netherlands,1759.42
7,Brazil,1756.49
8,Morocco,1753.07
9,Belgium,1735.24
10,Germany,1730.37
11,Croatia,1721.73
12,Italy,1707.46
13,Colombia,1693.09
14,Senegal,1687.82
15,Mexico,1680.51
16,USA,1677.34
17,Uruguay,1674.12
18,Japan,1653.78
19,Switzerland,1649.40
20,Denmark,1623.91
21,IR Iran,1615.30
22,Korea Republic,1593.71
23,Ecuador,1593.24
24,Turkey,1592.43
25,Austria,1588.40
26,Nigeria,1586.89
27,Australia,1580.67
28,Algeria,1563.21
29,Egypt,1560.52
30,Canada,1557.20
31,Norway,1550.94
32,Ukraine,1543.29
33,Poland,1541.47
34,Panama,1536.62
35,Cote d'Ivoire,1528.22
36,Russia,1526.25
37,Wales,1525.82
38,Paraguay,1506.30
39,Scotland,1503.11
40,Sweden,1501.31
41,Hungary,1500.82
42,Serbia,1498.65
43,Czechia,1492.04
44,Tunisia,1482.34
45,Cameroon,1481.24
46,Greece,1475.58
47,Slovakia,1469.06
48,DR Congo,1468.22
49,Venezuela,1468.05
50,Uzbekistan,1465.34
51,Costa Rica,1459.90
52,Mali,1458.48
53,Peru,1456.61
54,Romania,1456.04
55,Chile,1455.28
56,Qatar,1454.96
57,Republic of Ireland,1437.26
58,Iraq,1436.94
59,Slovenia,1436.44
60,South Africa,1433.75
61,Saudi Arabia,1431.43
62,Burkina Faso,1415.16
63,Albania,1391.64
64,Jordan,1389.65
65,Honduras,1379.54
66,Bosnia and Herzegovina,1372.50
67,North Macedonia,1371.42
68,United Arab Emirates,1370.47
69,Jamaica,1368.12
70,Cabo Verde,1366.13
71,Northern Ireland,1360.62
72,Georgia,1350.18
73,Finland,1346.41
74,Ghana,1346.31
75,Iceland,1345.59
76,Bolivia,1339.61
77,Israel,1328.33
78,Kosovo,1325.43
79,Oman,1313.46
80,Montenegro,1305.52
81,Guinea,1305.50
82,Curacao,1294.65
83,Haiti,1291.19
