Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90
Atlanta Utd,20,26.1,45.0,5,55,450,5.0,8,7,15,8,0,1,6,0,1.60,1.40,3.00,1.60,3.00
Austin FC,21,28.3,51.6,5,55,450,5.0,6,5,11,6,0,0,9,0,1.20,1.00,2.20,1.20,2.20
CF Montréal,22,26.2,52.2,5,55,450,5.0,14,7,21,13,1,1,8,2,2.80,1.40,4.20,2.60,4.00
Charlotte,19,26.4,50.4,5,55,450,5.0,5,2,7,5,0,0,8,2,1.00,0.40,1.40,1.00,1.40
Chicago Fire,23,26.6,45.8,5,55,450,5.0,5,2,7,4,1,1,10,0,1.00,0.40,1.40,0.80,1.20
Colorado Rapids,21,27.3,45.4,5,55,450,5.0,7,4,11,7,0,0,12,2,1.40,0.80,2.20,1.40,2.20
Columbus Crew,19,27.1,45.0,5,55,450,5.0,8,7,15,8,0,0,12,0,1.60,1.40,3.00,1.60,3.00
D.C. United,19,27.3,61.6,5,55,450,5.0,4,2,6,3,1,1,12,1,0.80,0.40,1.20,0.60,1.00
FC Cincinnati,23,26.9,48.4,5,55,450,5.0,11,7,18,10,1,1,10,0,2.20,1.40,3.60,2.00,3.40
FC Dallas,19,28.0,55.4,5,55,450,5.0,9,5,14,7,2,2,13,2,1.80,1.00,2.80,1.40,2.40
Houston Dynamo,20,27.5,58.8,4,44,360,4.0,8,6,14,8,0,1,11,0,2.00,1.50,3.50,2.00,3.50
Inter Miami,23,28.0,39.2,5,55,450,5.0,8,6,14,8,0,0,11,1,1.60,1.20,2.80,1.60,2.80
LA Galaxy,21,26.9,45.6,5,55,450,5.0,8,6,14,7,1,1,11,1,1.60,1.20,2.80,1.40,2.60
LAFC,19,28.0,50.6,5,55,450,5.0,0,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00
Minnesota Utd,21,27.3,57.6,5,55,450,5.0,11,7,18,9,2,2,6,0,2.20,1.40,3.60,1.80,3.20
Nashville SC,20,26.6,47.2,5,55,450,5.0,2,2,4,2,0,0,8,0,0.40,0.40,0.80,0.40,0.80
NE Revolution,22,26.6,53.3,4,44,360,4.0,9,5,14,9,0,0,7,1,2.25,1.25,3.50,2.25,3.50
NY Red Bulls,22,27.2,38.6,5,55,450,5.0,11,6,17,10,1,1,7,0,2.20,1.20,3.40,2.00,3.20
NYCFC,18,25.6,44.8,5,55,450,5.0,6,3,9,5,1,1,13,3,1.20,0.60,1.80,1.00,1.60
Orlando City,22,26.1,61.2,5,55,450,5.0,17,10,27,15,2,2,6,0,3.40,2.00,5.40,3.00,5.00
Philadelphia Union,24,27.0,49.2,5,55,450,5.0,9,7,16,9,0,0,13,0,1.80,1.40,3.20,1.80,3.20
Portland Timbers,19,26.7,55.4,5,55,450,5.0,12,10,22,12,0,0,9,1,2.40,2.00,4.40,2.40,4.40
Real Salt Lake,23,27.7,56.0,5,55,450,5.0,7,5,12,7,0,0,12,1,1.40,1.00,2.40,1.40,2.40
San Diego FC,22,25.8,35.2,5,55,450,5.0,5,3,8,4,1,1,10,1,1.00,0.60,1.60,0.80,1.40
Seattle Sounders,21,25.9,50.6,5,55,450,5.0,2,2,4,2,0,0,10,0,0.40,0.40,0.80,0.40,0.80
SJ Earthquakes,19,25.9,51.8,5,55,450,5.0,1,1,2,1,0,0,11,0,0.20,0.20,0.40,0.20,0.40
Sporting KC,18,26.2,56.0,5,55,450,5.0,11,7,18,11,0,1,11,0,2.20,1.40,3.60,2.20,3.60
St. Louis City,20,28.1,49.4,5,55,450,5.0,7,5,12,7,0,0,7,0,1.40,1.00,2.40,1.40,2.40
Toronto FC,20,26.4,57.2,5,55,450,5.0,8,4,12,7,1,1,9,0,1.60,0.80,2.40,1.40,2.20
Vancouver W'caps,20,26.6,42.8,5,55,450,5.0,2,1,3,2,0,0,11,0,0.40,0.20,0.60,0.40,0.60
