Squad,MP,xG,xGA,xGD,GF,GA,xG_vs_Actual
NY Red Bulls,5,2.02,1.35,0.67,1.00,2.20,-1.02
LA Galaxy,5,1.86,1.04,0.82,1.40,1.60,-0.46
Vancouver W'caps,5,1.68,0.88,0.80,2.80,0.40,1.12
St. Louis City,5,1.68,1.19,0.49,0.80,1.40,-0.88
Real Salt Lake,5,1.66,1.53,0.13,1.80,1.40,0.14
Philadelphia Union,5,1.56,1.18,0.38,0.60,1.80,-0.96
Colorado Rapids,5,1.53,1.42,0.11,2.20,1.40,0.67
LAFC,5,1.53,1.47,0.06,1.60,0.00,0.07
FC Cincinnati,5,1.50,1.58,-0.08,1.40,2.20,-0.10
SJ Earthquakes,5,1.47,1.09,0.38,1.40,0.20,-0.07
Charlotte,5,1.47,1.61,-0.14,2.00,1.20,0.53
NYCFC,5,1.46,1.29,0.17,2.60,1.20,1.14
FC Dallas,5,1.44,1.08,0.36,2.00,1.80,0.56
Houston Dynamo,4,1.42,1.72,-0.30,2.00,2.25,0.58
Nashville SC,5,1.41,0.94,0.47,2.60,0.40,1.19
Chicago Fire,5,1.38,1.20,0.18,1.40,1.00,0.02
Seattle Sounders,5,1.36,1.52,-0.16,1.00,0.40,-0.36
Columbus Crew,5,1.35,1.18,0.17,1.00,1.60,-0.35
San Diego FC,5,1.34,1.12,0.22,2.60,1.00,1.26
Portland Timbers,5,1.27,2.15,-0.88,1.40,2.40,0.13
Toronto FC,5,1.25,1.41,-0.16,1.20,1.60,-0.05
Minnesota Utd,5,1.25,1.58,-0.33,0.80,2.20,-0.45
Austin FC,5,1.25,1.74,-0.49,1.00,1.40,-0.25
Inter Miami,5,1.24,1.15,0.09,1.80,1.60,0.56
Orlando City,5,1.12,1.95,-0.83,1.00,3.40,-0.12
NE Revolution,4,1.09,1.66,-0.57,2.00,2.25,0.91
Atlanta Utd,5,1.09,1.17,-0.08,1.00,1.60,-0.09
CF Montréal,5,1.02,1.43,-0.41,1.40,2.80,0.38
D.C. United,5,1.02,1.33,-0.31,0.80,0.80,-0.22
Sporting KC,5,0.88,1.81,-0.93,1.00,2.20,0.12
