Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Colorado Avalanche,66,3.73,434,680,34,15.8,1,2227,11.0,486,82.4,24,8,33.3
Edmonton Oilers,68,3.50,403,641,60,31.9,5,2025,11.8,647,77.2,11,2,18.2
Montreal Canadiens,66,3.50,399,630,46,24.2,7,1746,13.2,649,76.9,20,6,30.0
Tampa Bay Lightning,65,3.49,402,629,44,21.9,3,1829,12.4,958,81.6,11,6,54.5
Carolina Hurricanes,66,3.47,375,604,44,22.0,6,2129,10.8,520,80.0,24,7,29.2
Buffalo Sabres,67,3.45,393,624,42,20.7,10,1887,12.2,646,82.9,14,6,42.9
Dallas Stars,67,3.45,409,640,60,29.6,3,1735,13.3,573,80.9,25,9,36.0
Pittsburgh Penguins,67,3.42,390,619,48,25.1,5,1943,11.8,554,84.5,33,8,24.2
Ottawa Senators,66,3.36,391,613,50,23.4,5,1897,11.7,655,74.0,8,5,62.5
Boston Bruins,67,3.27,378,597,48,23.8,2,1829,12.0,863,77.6,25,3,12.0
Vegas Golden Knights,67,3.27,384,603,48,25.5,3,1904,11.5,493,82.3,19,4,21.1
Minnesota Wild,68,3.26,386,608,56,24.8,6,1976,11.2,493,79.0,26,8,30.8
Anaheim Ducks,67,3.21,363,578,35,17.1,7,2027,10.6,665,77.6,26,15,57.7
Toronto Maple Leafs,68,3.15,348,562,32,19.8,4,1853,11.5,558,83.5,7,3,42.9
Utah Mammoth,68,3.15,344,558,32,17.1,7,1875,11.4,635,78.2,0,0,0.0
Columbus Blue Jackets,66,3.12,350,556,32,20.1,5,1976,10.4,541,77.6,23,13,56.5
San Jose Sharks,65,3.11,346,548,43,20.0,3,1679,12.0,572,78.9,10,3,30.0
Washington Capitals,68,3.10,356,567,33,16.3,3,1958,10.8,618,79.4,33,7,21.2
Florida Panthers,66,2.95,324,519,47,19.8,6,1900,10.3,761,82.2,12,6,50.0
Detroit Red Wings,68,2.91,331,529,46,21.9,2,1912,10.4,524,78.7,11,4,36.4
Nashville Predators,66,2.91,326,518,43,22.2,5,1865,10.3,563,80.6,15,5,33.3
New York Islanders,67,2.88,313,506,31,15.9,9,1882,10.3,517,81.8,19,5,26.3
Seattle Kraken,66,2.88,318,508,41,21.4,2,1692,11.2,501,73.6,9,1,11.1
Winnipeg Jets,66,2.83,325,512,32,17.7,5,1732,10.8,528,79.0,8,1,12.5
New York Rangers,67,2.79,330,517,41,24.6,4,1691,11.1,509,78.2,7,5,71.4
Philadelphia Flyers,66,2.77,313,496,29,15.2,6,1660,11.0,657,78.1,29,10,34.5
Los Angeles Kings,67,2.63,297,473,33,17.2,7,1849,9.5,561,75.2,35,10,28.6
New Jersey Devils,67,2.63,297,473,38,22.2,4,2002,8.8,492,79.8,11,7,63.6
St. Louis Blues,67,2.63,302,478,29,16.8,5,1683,10.5,533,75.3,10,1,10.0
Chicago Blackhawks,66,2.61,290,462,37,19.4,5,1608,10.7,617,84.9,35,10,28.6
Vancouver Canucks,66,2.52,273,439,35,17.9,7,1742,9.5,535,71.1,22,5,22.7
Calgary Flames,67,2.46,263,428,30,15.6,11,1917,8.6,758,80.6,20,5,25.0
